"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"3652","High school building, Avoca, Iowa","grinnell:14225","Two story brick & stone high school building with bell tower. A combination gymnasium and auditorium, a library, a large study room, and five additional classrooms totalling $69,000 were added in 1926.",NA,"Beckwith & Beauchamp (Shenandoah, Iowa)",1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Pottawattamie County (Iowa), Avoca (Iowa), Educational facilities, Schools, Public schools",NA
"3653","High school building, Cherokee, Iowa","grinnell:14088","Lincoln High School was built in 1895 at a cost of $20,000 on the corner of Main and First Street. It was built with Sioux Falls granite that was brought in by train. The building was razed in 1960. 1912 postmark.","Lincoln High School",NA,1912,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Cherokee (Iowa), Educational facilities, Schools, Public schools, Cherokee County (Iowa), Lincoln High School",NA
"3654","High school building, New Sharon, Iowa","grinnell:14331","Looking at the entrance to a two story brick school building in New Sharon, Iowa. 1918 postmark. Number 40.",NA,"KRUXO",1918,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Mahaska County (Iowa), New Sharon (Iowa), Educational facilities, Schools, Public schools",NA
"3655","High school, Adair, Iowa","grinnell:14292","Two story brick building with bell tower. 1909 postmark. Number 589. Series 4.",NA,"Grinnell College",1909,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Guthrie County (Iowa), Adair (Iowa), Educational facilities, Schools, Public schools",NA
"3656","High school, Albia, Iowa","grinnell:14282","In 1868 the independent district of Albia erected a three-story brick building at a cost of $28,000, but in 1878 it was destroyed by fire. A new structure was built in 1879 at a cost of $30,000. 1912 postmark. Number 2224.","Albia High School","Grinnell College",1912,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Monroe County (Iowa), Albia (Iowa), Educational facilities, Schools, Public schools",NA
"3657","High school, Alta, Iowa","grinnell:13672","Looking at at a three-story wooden building with a bell tower. The first school building was built in 1876. 1910 postmark.","Public school","F.M. Downs Co. (Lincoln, Neb.)",1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Buena Vista County (Iowa), Alta (Iowa), Educational facilities, Schools, Public schools",NA
"3658","High school, Alton, Iowa","grinnell:14265","Looking at a three-story brick school building built at the turn of the 20th century. 1929 postmark.",NA,NA,1929,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Sioux County (Iowa), Alton (Iowa), Educational facilities, Schools, Public schools",NA
"3659","High school, Ames, Iowa","grinnell:14456","The older part of the high school (on left with five chimneys) was built in 1881-82. The eight-classroom addition on the right was built around 1900. In July of 1937, it was razed in preparation for the new high school building. 1913 postmark.",NA,"Jones, Tom (Cincinnati, Ohio)",1913,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Story County (Iowa), Ames (Iowa), Educational facilities, Schools, Public schools",NA
"3660","High school, Anita, Iowa","grinnell:14247","Looking east at the Anita High School built in 1900. It was located on the southeast corner of 690th Street and Troublesome Creek Road, Anita, Cass County, Iowa. The town was named after Anita Cowles, niece of the surveyor of the town site.",NA,"Lewis, Jas. B. (Anita, Iowa)",1920,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Cass County (Iowa), Anita (Iowa), Educational facilities, Schools, Public schools",NA
"3661","High school, Atlantic, Iowa","grinnell:14235","The Atlantic High School was the second high school building in the town. The first high school was constructed in 1878, and a large addition was constructed in 1912. Population growth and the need for modern facilities necessitated the construction of a new high school. In July of 1935 the school board resolved to apply for a Public Works Administration (PWA) grant. There was a successful campaign for the new high school; in November a $160,000 bond issue was approved. Ground was broken in 1936, and the school was finished in May of 1937, opening in the fall of that year. Located at 1100 Linn Street, Atlantic, Cass County, Iowa. Listed in the National Register of Historic Places. Number 3772.","Atlantic High School","DOPS",1940,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Cass County (Iowa), Atlantic (Iowa), Educational facilities, Schools, Public schools",NA
"3662","High school, Avoca, Iowa","grinnell:14226","Two story brick & stone high school building with bell tower. A combination gymnasium and auditorium, a library, a large study room, and five additional classrooms totalling $69,000 were added in 1926. Number B989A3.",NA,"H.G. Zimmerman & Co. (Chicago, [Ill.])",1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Pottawattamie County (Iowa), Avoca (Iowa), Educational facilities, Schools, Public schools",NA
"3663","High school, Baldwin, Iowa","grinnell:14218","Two-story brick high school building with bell tower. Built in 1897.",NA,"E.C. Kropp Co. (Milwaukee, Wis.)",1905,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Jackson County (Iowa), Baldwin (Iowa), Educational facilities, Schools, Public schools",NA
"3664","High school, Baldwin, Iowa","grinnell:14217","Two-story brick high school building with bell tower. Built in 1897.",NA,"Hamley (Maquoketa, Iowa), CYKO",1905,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Jackson County (Iowa), Baldwin (Iowa), Educational facilities, Schools, Public schools",NA
"3665","High school, Belle Plaine, Iowa","grinnell:14192","Two story brick building. In 1880 the North school building was put up at a cost of $16,000. William Young of Marshalltown did the brick work and roofing and L. Wallace and Son did the carpenter work. 1908 postmark. Number 4408.","North Side School","E.C. Kropp Co. (Milwaukee, Wis.)",1908,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Benton County (Iowa), Belle Plaine (Iowa), Educational facilities, Schools, Public schools",NA
"3666","High school, Belle Plaine, Iowa","grinnell:14197","Two story brick building. In 1880 the North school building was put up at a cost of $16,000. William Young of Marshalltown did the brick work and roofing and L. Wallace and Son did the carpenter work. 1909 postmark.","North Side School",NA,1909,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Benton County (Iowa), Belle Plaine (Iowa), Educational facilities, Schools, Public schools",NA
"3667","High school, Belle Plaine, Iowa","grinnell:14458","Two story brick building. Original site of the North School Building, this is the third school built in 1921 on this location to replace another building that was built in 1912 and gutted by fire on January 1, 1921. Number 61181.",NA,"Commercial Colortype Company (Chicago, Ill.), Black and White",1926,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Benton County (Iowa), Belle Plaine (Iowa), Educational facilities, Schools, Public schools",NA
"3668","High school, Brooklyn, Iowa","grinnell:14447","Looking southwest at the original public school building built in 1914 at a cost of $50,000. A newer addition is to the south of the public building. 1956 postmark. Number 383-14.",NA,"Grinnell College",1956,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Poweshiek County (Iowa), Brooklyn (Iowa), Educational facilities, Schools, Public schools",NA
"3669","High school, Burt, Iowa","grinnell:14159","Two story brick building with children on front step. 1915 postmark. Number 3.","Burt High School","Big 4 Post Card Co. (Albert Lea, Minn.), KRUXO",1915,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Kossuth County (Iowa), Burt (Iowa), Educational facilities, Schools, Public schools, Children",NA
"3670","High school, Center Point, Iowa","grinnell:14111","The two story brick and stone building was built in 1903. 1907 postmark.",NA,NA,1907,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Linn County (Iowa), Center Point (Iowa), Educational facilities, Schools, Public schools",NA
"3671","High school, Charles City, Iowa","grinnell:14100","Looking at the entrance to a three story stone building. ""The Safeguard of Our Nation"" --t.p. 1910 postmark.",NA,"May Drug Co. Pub. (Charles City, Iowa)",1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Floyd County (Iowa), Charles City (Iowa), Educational facilities, Schools, Public schools",NA
"3672","High school, Cherokee, Iowa","grinnell:14087","Wilson High School was built in 1916 and replaced old Lincoln High School. It functioned as a high school until 1953 when the current Washington High School was built then became Wilson Jr High/Middle SchooI until 2001 when the new middle school was built. It was located at 100 E. Willow Street, Cherokee, Cherokee County, Iowa. 1922 postmark.","Wilson High School","Wall, R.E.",1922,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Cherokee (Iowa), Educational facilities, Schools, Public schools, Cherokee County (Iowa), Lincoln High School",NA
"3673","High school, Chester, Iowa","grinnell:14082","Looking at the entrance to a four-story brick and stone building. Notice the bell on the roof with the rope going down to the center fourth floor window. Number 1625.",NA,"L.L. Cook Co. (Milwaukee, Wis.), EKC",1940,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Howard County (Iowa), Chester (Iowa), Educational facilities, Schools, Public schools",NA
"3674","High school, Clear Lake, Iowa","grinnell:14474","Pencil sketch of the three-story brick and stone high school building. The Romanesque building was built in 1855 and burned down in 1912. It was located at 800 Second Avenue North, Clear Lake, Cerro Gordo County, Iowa. Number 8.",NA,"Albertype Co. (Brooklyn, N.Y.)",1905,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Cerro Gordo County (Iowa), Clear Lake (Iowa), Educational facilities, Schools, Public schools",NA
"3675","High school, Colfax, Iowa","grinnell:14566","The high school was built around 1907 at a cost of $35,000. Number 35.",NA,"Iowa Calendar Co. (Marshalltown, Iowa), KRUXO",1917,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Jasper County (Iowa), Colfax (Iowa), Educational facilities, Schools, Public schools",NA
"3676","High school, Corning, Iowa","grinnell:16247","View of the entrance to a two-story brick school building built in the late 1890's at a cost of $10,250. 1913 postmark. Number 39822.","Corning High School",NA,1913,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Schools, Public schools, Educational facilities, Adams County (Iowa), Corning (Iowa)",NA
"3677","High school, Correctionville, Iowa","grinnell:16244","Looking at the front entrance of the second schoolhouse built in 1872. It was located at 117 Driftwood Street, Correctionville, Woodbury County, Iowa. 1908 postmark. Number 63281.",NA,"Rotograph Co., New York City, N.Y.",1908,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Schools, Public schools, Educational facilities, Woodbury County (Iowa), Correctionville (Iowa)",NA
"3678","High school, Dayton, Iowa","grinnell:16188","The Dayton High School was completed in 1920 and the auditorium was added in 1939. 1909 postmark.",NA,"Cole Drug Co. (Dayton, Iowa)",1909,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Schools, Public schools, Educational facilities, Webster County (Iowa), Dayton (Iowa)",NA
"3679","High school, Defiance, Iowa","grinnell:16174","Looking at a newly built 3-story brick and stone building. 1914 postmark.",NA,"Carroll Post Card Co. (Carroll, Iowa), KRUXO",1914,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Schools, Public schools, Educational facilities, Shelby County (Iowa), Defiance (Iowa)",NA
"3680","High school, Grinnell, Iowa","grinnell:13802","Looking northwest. The first Grinnell high school was built in 1904. An addition that expanded the building to include junior high students was completed in 1921. 1907 postmark. Number 2363. It now houses the Grinnell Community Center.",NA,"Pearson Ullberg Co. (Minneapolis, [Minn.])",1907,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Educational facilities, Schools, Public schools",NA
"3681","High school, Grinnell, Iowa","grinnell:13814","Looking northwest from Fourth Avenue with ribbon embossed on front of card. The first Grinnell high school was built in 1904. An addition that expanded the building to include junior high students was completed in 1921. It now houses the Grinnell Community Center. 1911 postmark. Number 937.",NA,"Williams, C.U. (Bloomington, Ill.)",1911,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Educational facilities, Schools, Public schools",NA
"3682","High school, Grinnell, Iowa","grinnell:13813","Looking northwest with students standing outside building. The first Grinnell high school was built in 1904. An addition that expanded the building to include junior high students was completed in 1921. Number 291. It now houses the Grinnell Community Center.","Stewart Public Library","Co-Mo Photo Company (Mason City, Iowa)",1930,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Poweshiek County (Iowa), Grinnell (Iowa), Educational facilities, Schools, Public schools, Students",NA
"3683","High school, Montezuma, Iowa","grinnell:13962","Number 12234a. PCK Series.",NA,"Hamilton, J.M. (Monmouth, Ill.)",1910,"Ivan Sheets Collection",NA,"still image","Poweshiek County (Iowa), Montezuma (Iowa), Educational facilities, Public schools",NA
"3684","High school, Montezuma, Iowa","grinnell:13961","Number 9504.",NA,"Co-Mo Company, Post Cards (Minneapolis, Minn.)",1910,"Ivan Sheets Collection",NA,"still image","Poweshiek County (Iowa), Montezuma (Iowa), Educational facilities, Public schools",NA
"3685","High school, New Sharon, Iowa","grinnell:14329","Looking at the entrance to a two story brick school building in New Sharon, Iowa. Number 47.",NA,"Iowa Calendar Co. (Marshalltown, Iowa), KRUXO",1918,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Mahaska County (Iowa), New Sharon (Iowa), Educational facilities, Schools, Public schools",NA
"3686","High school, Newton, Iowa","grinnell:14326","The Newton High School was erected just west from Central school building in 1907/1908 at a cost of $72,000. It was built on the most modern and approved plans for school buildings, even to the items of sanitary drinking fountains. The building was later known as the west building of Central Junior High and in 1983 it was razed and the site sold. Number 5020.",NA,"EKC",1935,"Digital Grinnell, Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives",NA,"still image","Jasper County (Iowa), Newton (Iowa), Educational facilities, Schools, Public schools, Vehicles, Automobiles",NA
"3687","High school, Searsboro, Iowa","grinnell:18251","Looking northeast at the Searsboro High School, established 1904. 1910 postmark.","Searsboro High School",NA,1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Poweshiek County (Iowa), Searsboro (Iowa), Educational facilities, Schools, Public schools",NA
"3688","Higher and Higher ","grinnell:6373","Color poster advertising a Grinnell, Iowa, screening of the 1943 film, Higher and Higher, starring Michele Morgan, Jack Haley and Frank Sinatra. Numbered 43 of 502.","The Sinatra Show","Poweshiek History Preservation Project",1943,NA,"Business, Grinnell, 1940s","still image","Film posters","Grinnell (Iowa)"
"3689","Highland Park College, Des Moines, Iowa","grinnell:16149","Looking at street trolley #197 arriving at the Highland Park College campus which was established in 1889 and operated under that name until 1918, when the Baptist church bought it and renamed it Des Moines University. The school had some 40,000 students and 1,000 pharmacy graduates in its first twenty-five years. After some unrest, the school closed in September 1929, and the buildings remained empty until 1943, when Alfred W. Lawson of Detroit bought the property and founded the Des Moines University of Lawsonomy (""the study of everything""). The university closed in 1954 and the Park Fair Shopping Mall is on the site today at Second Avenue and Euclid Avenue. 1906 postmark. Number 1761.","Des Moines University, Des Moines University of Lawsonomy",NA,1906,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Educational facilities, Street railroads, Colleges and universities, Polk County (Iowa), Des Moines (Iowa)",NA
"3690","Highway 6 Newly Paved","grinnell:3333","Photograph of U.S. Highway 6 with newly paved surface near Grinnell, Iowa.",NA,"Poweshiek History Preservation Project",1920,"Digital Grinnell, Poweshiek History Preservation Project","1920s, Transportation, Grinnell","still image","Pavements, United States Highway 6, Roads","Grinnell (Iowa)"
"3691","Highway Sign","grinnell:21561","A highway sign painted on a wall near 831 Fourth Avenue in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.28, slide 17.",NA,"Poweshiek History Preservation Project",1988,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Government","still image","United States -- United States Highway 7","Grinnell (Iowa)"
"3692","Hiland Truck Driving Down Alley","grinnell:21513","A Hiland truck driving down the alley to the east of 813 Fourth Avenue (Village Decorating at the time) in Grinnell, Iowa. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.24, slide 20.",NA,"Poweshiek History Preservation Project",1989,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Business","still image","Central business districts, Alleys","Grinnell (Iowa)"
"3693","Hildreth Hotel, Charles City, Iowa","grinnell:14594","Looking northwest at the three story brick Hildreth Hotel was built in 1893 by Azro Benjamin Franklin (A.B.F.) Hildreth who was a successful entrepreneur and member of the Iowa State Board of Education and the Iowa General Assembly. The building was destroyed by fire in the 1930s and was located at 401 N. Main Street, Charles City, Floyd County, Iowa. 1911 postmark.",NA,"May Drug Co. (Charles City, Iowa)",1911,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Floyd County (Iowa), Charles City (Iowa), Public accommodation facilities, Hotels, Vehicles, Automobiles, Hildreth, Azro Benjamin Franklin (A.B.F.)",NA
"3694","Historic General Dodge House, Art Nouveau Room, Council Bluffs, Iowa","grinnell:16236","Verso says: An English brass bed highlights a fine collection of furniture and accessories of this style which was so popular between 1890 and 1910, and the color scheme derives from the misty rose and gold of the original Dodge oriental rug. Grenville M. Dodge was the chief engineer of the Union Pacific Railroad, 1866-1869, and was responsible for completing the first transcontinental railroad in 1869. He remained in his house until his death in 1916. The Dodge House was built in 1869 at a cost of $35,000, and the architect was W.W. Boyington of Chicago. The house is located at 605 South Third Street, Council Bluffs, Pottawattamie County, Iowa. 1982 postmark. Number 681249. Series HGD-6. Copyright by H.K. Barnett.","Union Pacific Railroad, Dodge, Grenville M.","Barnett, H.K. (Allison Park, Pa.)",1982,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Interiors, Historic buildings, Rooms & spaces, Pottawattamie County (Iowa), Council Bluffs (Iowa), Bedrooms, Dodge, Grenville M., Union Pacific Railroad",NA
"3695","Historic General Dodge House, Back Parlor, Council Bluffs, Iowa","grinnell:16235","Verso says: Centering the back wall is a handsome Renaissance Revival pier mirror. Original to the house, it is flanked by portraits of General and Mrs. Dodge. Also original is the parlor set of Louis XV Revival chairs and the carved Eastlake chair. Grenville M. Dodge was the chief engineer of the Union Pacific Railroad, 1866-1869, and was responsible for completing the first transcontinental railroad in 1869. He remained in his house until his death in 1916. The Dodge House was built in 1869 at a cost of $35,000, and the architect was W.W. Boyington of Chicago. It is located at 605 South Third Street, Council Bluffs, Pottawattamie County, Iowa. 1982 postmark. Number 10x16024-D.","Dodge, Grenville M., Union Pacific Railroad","Dunlap Post Card Co. (Omaha, Neb.), Dexter Press (West Nyack, N.Y.)",1982,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Interiors, Historic buildings, Rooms & spaces, Pottawattamie County (Iowa), Council Bluffs (Iowa), Parlors, Dodge, Grenville M., Union Pacific Railroad",NA
"3696","Historic General Dodge House, Dining Room, Council Bluffs, Iowa","grinnell:16234","Verso says: Many distinguished persons have been entertained in this impressive room, five U.S. presidents and Generals Sherman, Black and Logan dined here. Furnished predominately with original pieces, this is the most historic room in the house. Grenville M. Dodge was the chief engineer of the Union Pacific Railroad, 1866-1869, and was responsible for completing the first transcontinental railroad in 1869. He remained in his house until his death in 1916. The Dodge House was built in 1869 at a cost of $35,000, and the architect was W.W. Boyington of Chicago. It is located at 605 South Third Street, Council Bluffs, Pottawattamie County, Iowa. 1982 postmark. Number 10x16023-D.","Union Pacific Railroad, Dodge, Grenville M.","Dunlap Post Card Co. (Omaha, Neb.), Dexter Press (West Nyack, N.Y.)",1982,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Union Pacific Railroad, Interiors, Historic buildings, Rooms & spaces, Pottawattamie County (Iowa), Council Bluffs (Iowa), Dining rooms, Dodge, Grenville M.",NA
"3697","Historic General Dodge House, The General's Study, Council Bluffs, Iowa","grinnell:16233","Verso says: A masculine atmosphere, highlighted by several personal possessions, characterized the General's cozy retreat on the second floor. On the walls hang paintings by George Simons, an American primitive painter who worked as a cook on Dodge's surveying crew. Grenville M. Dodge was the chief engineer of the Union Pacific Railroad, 1866-1869, and was responsible for completing the first trans-continental railroad in 1869. He remained in his house until his death in 1916. The Dodge House was built in 1869 at a cost of $35,000, and the architect was W.W. Boyington of Chicago. It is located at 605 South Third Street, Council Bluffs, Pottawattamie County, Iowa. 1982 postmark. Number 681248. Series HGD-5.","Union Pacific Railroad, Dodge, Grenville M.","Barnett, H.K. (Allison Park, Pa.)",1982,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Interiors, Historic buildings, Rooms & spaces, Pottawattamie County (Iowa), Council Bluffs (Iowa), Studies (Rooms), Dodge, Grenville M., Union Pacific Railroad",NA
"3698","Historical Changes in the Skunk River Channel","grinnell:3416","This project characterizes the historical changes to the channels of the North and South branches of the Skunk River.","North and South forks of the Skunk River, 1832-2004","Grinnell College",2009,"Digital Grinnell -- grinnell-collection:1, Liberal Arts Scholarly Repository, grinnell-auth:129 -- Digital Grinnell",NA,"text","River channels -- Iowa -- Skunk River, Skunk River (Iowa), River engineering -- Iowa -- Skunk River",NA
"3699","Historical Map Annotations for Text Detection and Recognition","grinnell:23294","This data is set designed for testing the performance of text/graphics separation and character recognition algorithms on text in scanned historical map images. Thirty one maps from the nineteenth and early twentieth centuries (1866–1927) were chosen from nine atlases in the David Rumsey Map Collection (http://davidrumsey.com). Most maps are of individual U.S. states, though some are regional and one is of the entire U.S.; most feature little handwritten text. The original MrSid files are converted into uncompressed TIFF images for a manual annotation, stored in JSON format. The authors gratefully acknowledge the David Rumsey Map Collection as the source of the map images, which come with the following notice: Images copyright © 2000 by Cartography Associates. Images may be reproduced or transmitted, but not for commercial use. This work is licensed under a Creative Commons [Attribution-NonCommercial-ShareAlike 3.0 Unported] license (http://creativecommons.org/licenses/by-nc-sa/3.0). By downloading any images from this site, you agree to the terms of that license.",NA,"Grinnell College",2018,"Digital Grinnell, Faculty Scholarship, Student Scholarship, Scholarship at Grinnell",NA,"cartographic",NA,NA
"3700","History Seminar","grinnell:5062","Photo of Wendy Hamaker, Jim Arbogast, Leif Larsen, Jim Rabchuk ans Steven Hecimovich in a classsroom for history seminar",NA,"Grinnell College",1983,"Digital Grinnell","classroom, history, seminar","Photograph",NA,"Grinnell (Iowa)"
"3701","History and Genealogy of Bailey and Baggs Families","grinnell:5851","Ten pages of handwritten notes detailing the history and genealogy of the James Fordyce Bailey family and the George Thomas Baggs family. This is probably a draft of the entry for James Fordyce Bailey in Leonard Fletcher Parker's History of Poweshiek County, Iowa.",NA,"Poweshiek History Preservation Project",1910,"Digital Grinnell, Poweshiek History Preservation Project","1910s, Grinnell, Family life","text","Bailey family, Baggs family, Bailey, James Fordyce, 1815-1888","Grinnell (Iowa)"
"3702","History of Travel Clock, Spillville, Iowa","grinnell:14971","History of Travel Clock, Spillville, Iowa",NA,"Bloom Brothers Co., Minneapolis, Minn.",NA,NA,NA,"still image","Clock and watch industry, Bily, Frank L., Bily, Joseph C., Clocks",NA
"3703","History of the Woman's Temperance Union of Grinnell, Iowa from 1874 to 1924","grinnell:3161","The history of the Woman's Temperance Union of Grinnell, Iowa.","Woman's Christian Temperance Union of Grinnell, Iowa","Grinnell College",1924,"Digital Grinnell",NA,"Book",NA,NA
"3704","Hitching Rack in Grinnell","grinnell:6307","Postcard view of horses lined up at a hitching rack on Fourth Avenue on the south side of Central Park in Grinnell, Iowa. Grinnell High School visible in the background. Azo stamp box on verso. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1910,"Digital Grinnell -- grinnell-collection:1, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1910s, Grinnell, Transportation","Image","Horses","Grinnell (Iowa)"
"3705","Hockey Club Dave Imes","grinnell:5905","1962-1963 hockey club, Dave Imes #17.",NA,"Grinnell College",1963,"Digital Grinnell","Dave Imes, hockey","Photograph",NA,NA
"3706","Hockey Player","grinnell:5090","Photo of Makino Ruth in hockey outfit",NA,"Grinnell College",1978,"Poweshiek History Preservation Project, Digital Grinnell","hockey","Photograph",NA,"Grinnell (Iowa)"
"3707","Hogback Bridge, Winterset, Iowa","grinnell:16284","Hogback Bridge, Winterset, Iowa",NA,"Joe Graham & Co., Winterset, Iowa",NA,NA,NA,"still image","Covered bridges, Dirt roads",NA
"3708","Holi festival, 2003","grinnell:20155","Holi festival, April 2003.",NA,"Grinnell College",2003,"Digital Grinnell","Students, Student Activities","still image",NA,"Grinnell (Iowa)"
"3709","Holi festival, 2003","grinnell:20157","Holi festival, April 2003.",NA,"Grinnell College",2003,"Digital Grinnell","Students, Student Activities","still image",NA,"Grinnell (Iowa)"
"3710","Holi festival, 2003","grinnell:20156","Holi festival, April 2003.",NA,"Grinnell College",2003,"Digital Grinnell","Students, Student Activities","still image",NA,"Grinnell (Iowa)"
"3711","Holi festival, 2003","grinnell:20158","Holi festival, April 2003.",NA,"Grinnell College",2003,"Digital Grinnell","Students, Student Activities","still image",NA,"Grinnell (Iowa)"
"3712","Holiday Dinner Invitation 2013","grinnell:5186","Invitation to the 2013 Grinnell College Holiday dinner held on December 20, 2013.",NA,"Grinnell College",2013,"Digital Grinnell, Campus Events -- grinnell-collection:38, Life at Grinnell College",NA,"text","Holidays, Invitation cards","Grinnell (Iowa)"
"3713","Holiday House, Mount Vernon, Iowa","grinnell:15353","Holiday House, Mount Vernon, Iowa",NA,"L.L. Cook Co., Milwaukee, Wis.",NA,NA,NA,"still image","Eating and drinking facilities, Restaurants, Vehicles, Automobiles",NA
"3714","Holiday Inn Advertisement, Dubuque, Iowa","grinnell:16831","Holiday Inn Advertisement, Dubuque, Iowa",NA,NA,NA,NA,NA,"still image","Advertising cards, Public accommodation facilities, Motels, Swimming pools, Women",NA
"3715","Holiday street scene, Climbing Hill, Iowa","grinnell:14035","Looking west on the Deer Run Trail in Climbing Hill, Iowa, with the First Baptish Church on the left. The community was named by C. E. Ostrander, the settler and postmaster. 1908 postmark.","Deer Run Trail, First Baptish Church","Velox",1908,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Woodbury County (Iowa), Climbing Hill (Iowa), Commercial streets, Commercial facilities, Celebrations, New Year",NA
"3716","Holliwell Bridge, Winterset, Iowa","grinnell:16283","Holliwell Bridge, Winterset, Iowa",NA,"Joe Graham & Co., Winterset, Iowa",NA,NA,NA,"still image","Covered bridges, Dirt roads",NA
"3717","Hollywood Grill, Dubuque, Iowa","grinnell:16822","Hollywood Grill, Dubuque, Iowa",NA,NA,NA,NA,NA,"still image","Advertising cards, Eating and drinking facilities, Restaurants",NA
